author,book_title,genre,pages_amt,price,publish_date,rating_avg,ratings_amt,reviews_amt
Jennifer Jaynes,Disturbed,horror,238 pages,"Kindle Unlimited
",November 7th 2017,4.09,5564,629
"Marjorie M. Liu,Sana Takeda","Monstress, Vol. 1: Awakening",horror,202 pages,"Kindle Store
$4.99
",July 19th 2016,3.95,42930,4979
Sarah Moss,Ghost Wall,horror,152 pages,"Kindle Store
$9.99
",September 20th 2018,3.80,10489,1730
"Libba Bray,January LaVoy",The King of Crows,horror,560 pages,Amazon,February 4th 2020,4.06,3774,987
Scott  Hawkins,The Library at Mount Char,horror,388 pages,Amazon UK,March 15th 2016,4.09,30131,5515
Libba Bray,Before the Devil Breaks You,horror,552 pages,"Kindle Store
$12.99
",October 3rd 2017,4.29,11147,2255
Mark  Edwards,The Retreat,horror,335 pages,"Kindle Unlimited
",May 10th 2018,4.05,17594,1586
Dot Hutchison,Roses of May,horror,302 pages,Amazon,May 23rd 2017,4.01,21526,1858
Dot Hutchison,The Summer Children,horror,300 pages,Amazon,May 22nd 2018,4.28,13488,1050
Sarah A. Denzil,Silent Child,horror,416 pages,"Kindle Unlimited
",January 22nd 2017,4.02,57501,3402
Tess Gerritsen,The Shape of Night,horror,268 pages,"Kindle Store
$14.99
",October 1st 2019,3.52,5573,1112
Waubgeshig Rice,Moon of the Crusted Snow,horror,218 pages,Amazon CA,October 2nd 2018,3.92,4678,840
Dean Koontz,The Silent Corner,horror,434 pages,Amazon CA,June 20th 2017,3.95,23895,2699
Libba Bray,Lair of Dreams,horror,613 pages,Amazon,August 25th 2015,4.15,20479,3717
"Guillermo del Toro,Cornelia Funke",Pan's Labyrinth: The Labyrinth of the Faun,horror,256 pages,"Kindle Store
$9.99
",July 2nd 2019,4.31,6136,1226
Hanna Jameson,The Last,horror,340 pages,Amazon UK,April 9th 2019,3.56,10292,1701
Loreth Anne White,A Dark Lure,horror,418 pages,"Kindle Unlimited
",July 1st 2015,4.19,27981,1939
Chuck Wendig,Wanderers,horror,800 pages,Amazon CA,July 9th 2019,4.01,10547,2205
J.L. Bryan,The Necromancer's Library,horror,199 pages,"Kindle Store
$3.99
",April 30th 2020,4.60,58,7
Samanta Schweblin,Kentukis,horror,224 pages,"Kindle Store
$11.99
",October 2018,3.60,2738,542
Victoria Schwab,Tunnel of Bones,horror,304 pages,Amazon,September 3rd 2019,4.12,9831,2059
Mark  Edwards,Follow You Home,horror,400 pages,"Kindle Unlimited
",June 30th 2015,3.89,41187,2803
J.D. Barker,The Fourth Monkey,horror,404 pages,"Kindle Unlimited
",June 27th 2017,4.15,14723,2494
Eva Pohler,The Mystery House,horror,326 pages,"Kindle Store
$3.99
",December 13th 2015,3.96,724,95
C.J. Tudor,The Hiding Place,horror,345 pages,"Kindle Store
$11.99
",February 5th 2019,3.64,15060,2642
Kerri Maniscalco,Escaping from Houdini,horror,416 pages,Amazon,September 18th 2018,4.07,14532,2773
Carmen Maria Machado,Her Body and Other Parties,horror,248 pages,Kobo,October 3rd 2017,3.92,32720,4818
Victoria Schwab,Our Dark Duet,horror,512 pages,Kobo,June 13th 2017,4.20,30425,6149
"Paul Tremblay,Steven Strait",The Last Conversation,horror,2 pages,Amazon,September 17th 2019,3.74,5430,622
Stuart  James,Apartment Six,horror,288 pages,"Kindle Unlimited
",January 29th 2020,3.82,1116,173
Kerri Maniscalco,Hunting Prince Dracula,horror,435 pages,Amazon UK,September 19th 2017,4.31,23672,4288
"Ben Kissel,Marcus Parks,Henry Zebrowski,Tom Neely",The Last Book on the Left: Stories of Murder and Mayhem from History’s Most Notorious Serial Killers,horror,304 pages,"Kindle Store
$14.99
",April 7th 2020,4.48,728,98
"Stephen King,Richard Chizmar,Keith Minnion",Gwendy's Button Box,horror,171 pages,"Kindle Store
$7.99
",May 16th 2017,3.90,40005,4842
Dreda Say Mitchell,Spare Room,horror,282 pages,"Kindle Unlimited
",January 22nd 2019,3.95,5360,491
D.M. Pulley,No One's Home,horror,400 pages,Amazon UK,September 1st 2019,3.93,2729,354
Rachel   Harrison,The Return,horror,304 pages,Amazon,March 24th 2020,3.45,1366,489
Christina Dalcher,Master Class,horror,,Amazon,April 21st 2020,3.97,580,279
Linwood Barclay,Elevator Pitch,horror,464 pages,Amazon,September 17th 2019,3.80,6396,1163
Caroline Kepnes,Hidden Bodies,horror,448 pages,"Kindle Store
$13.99
",November 1st 2016,3.73,43471,5559
Elizabeth Macneal,The Doll Factory,horror,336 pages,Amazon UK,May 2nd 2019,3.80,10095,1321
Dean Koontz,Ricochet Joe,horror,95 pages,"Kindle Unlimited
",December 28th 2017,3.58,8838,871
Seanan McGuire,Come Tumbling Down,horror,206 pages,"Kindle Store
$9.99
",January 7th 2020,4.00,7557,1767
Elly Griffiths,The Stranger Diaries,horror,338 pages,"Kindle Store
$9.99
",March 5th 2019,3.91,12375,1973
Andrew Mayne,Dark Pattern,horror,316 pages,"Kindle Unlimited
",October 15th 2019,4.19,3057,212
Ransom Riggs,The Conference of the Birds,horror,279 pages,Amazon,January 14th 2020,4.09,5959,872
"Søren Sveistrup,Caroline Waight",The Chestnut Man,horror,528 pages,Amazon CA,September 3rd 2019,4.21,18950,3054
C.J. Tudor,The Other People,horror,327 pages,"Kindle Store
$13.99
",January 28th 2020,3.88,7686,1929
Victoria Schwab,City of Ghosts,horror,272 pages,Amazon,August 28th 2018,3.93,29892,6158
Max Porter,Lanny,horror,210 pages,Kobo,March 7th 2019,4.13,11641,1763
Kerri Maniscalco,Stalking Jack the Ripper,horror,337 pages,Amazon,September 20th 2016,4.01,49945,9663
Simone St. James,The Broken Girls,horror,336 pages,"Kindle Store
$1.99
",March 20th 2018,4.04,41563,5569
Erin A. Craig,House of Salt and Sorrows,horror,403 pages,"Kindle Store
$10.99
",August 6th 2019,3.96,19016,4665
Seanan McGuire,Down Among the Sticks and Bones,horror,187 pages,"Kindle Store
$9.99
",June 13th 2017,4.16,27437,5337
"L.T. Vargus,Tim McBain",Dead End Girl,horror,495 pages,"Kindle Unlimited
",April 12th 2017,4.13,8216,551
Taylor  Adams,No Exit,horror,278 pages,"Kindle Store
$8.99
",June 25th 2017,4.03,46469,6759
"Douglas Preston,Lincoln Child",Crooked River,horror,,Amazon UK,February 4th 2020,4.34,6059,668
Lucinda Berry,The Perfect Child,horror,370 pages,"Kindle Unlimited
",March 1st 2019,4.09,33269,2924
Rachel Caine,Killman Creek,horror,343 pages,"Kindle Unlimited
",December 12th 2017,4.26,36495,2934
Riley Sager,The Last Time I Lied,horror,384 pages,Amazon,July 3rd 2018,4.06,51389,7127
Rachel Caine,Bitter Falls,horror,336 pages,"Kindle Unlimited
",January 21st 2020,4.34,7221,797
Kim Liggett,The Grace Year,horror,416 pages,Kobo,October 8th 2019,4.15,15874,4007
Tamsyn Muir,Gideon the Ninth,horror,448 pages,"Kindle Store
$13.99
",September 10th 2019,4.24,16313,3840
Mark  Edwards,Here To Stay,horror,,Amazon UK,September 1st 2019,3.94,24193,1903
Karin Slaughter,Pretty Girls,horror,688 pages,"Kindle Store
$9.99
",September 29th 2015,3.99,159074,15153
Ruth Ware,"In a Dark, Dark Wood",horror,308 pages,Amazon,April 19th 2016,3.69,200773,17611
Adrian McKinty,The Chain,horror,357 pages,Amazon UK,July 9th 2019,3.81,31933,5306
"Stephen King,Mark Edward Geyer",Elevation,horror,146 pages,Amazon UK,October 30th 2018,3.68,71401,9393
Stephen King,The Outsider,horror,561 pages,Amazon,May 22nd 2018,3.99,159418,16120
Leigh Bardugo,Ninth House,horror,459 pages,Amazon ES,October 8th 2019,4.09,59674,11324
Rachel Caine,Stillhouse Lake,horror,301 pages,"Kindle Unlimited
",July 1st 2017,4.12,103498,7676
Dean Koontz,The Mercy of Snakes,horror,61 pages,Amazon,November 12th 2019,4.09,8484,331
Simone St. James,The Sun Down Motel,horror,327 pages,"Kindle Store
$13.99
",February 18th 2020,4.11,21114,3947
Dean Koontz,Red Rain,horror,50 pages,Amazon,November 12th 2019,4.00,9138,378
Dean Koontz,Memories of Tomorrow,horror,55 pages,"Kindle Unlimited
",November 12th 2019,4.30,9404,586
Dean Koontz,The Praying Mantis Bride,horror,61 pages,Amazon,November 12th 2019,4.04,10216,454
Dean Koontz,Photographing the Dead,horror,58 pages,"Kindle Unlimited
",November 12th 2019,4.12,12388,620
"Ruth Ware,Ruth Ware",The Turn of the Key,horror,337 pages,"Kindle Store
$12.99
",August 6th 2019,3.95,90406,12347
Jess Lourey,Unspeakable Things,horror,,Kobo,January 1st 2020,3.91,27491,2168
Dean Koontz,In the Heart of the Fire,horror,62 pages,Amazon,November 12th 2019,4.09,24272,1228
Dean Koontz,Devoted,horror,380 pages,"Kindle Unlimited
",March 31st 2020,4.23,6128,646
"Stephen King,Stephen King",If It Bleeds,horror,447 pages,Amazon,April 21st 2020,4.26,4999,762
"British Library,J.K. Rowling,Julian Harrison,Julia Eccleshare,Roger Highfield,Anna Pavord,Lucy Mangan,Tim Peake,Owen  Davies,Richard  Coles,Steve Backshall,Steve Kloves",Harry Potter: A History of Magic,history,256 pages,Amazon,October 20th 2017,4.22,11579,622
Oliver Pötzsch,"Der Spielmann (Faustus, #1)",history,784 pages,"Kindle Store
$10.97
",September 21st 2018,4.35,178,49
Meg Waite Clayton,The Last Train to London,history,464 pages,Amazon CA,September 10th 2019,4.14,3858,612
Monica Hesse,They Went Left,history,384 pages,"Kindle Store
$9.99
",April 7th 2020,4.38,540,142
"David Enrich,B J Harrison","Dark Towers: Deutsche Bank, Donald Trump, and an Epic Trail of Destruction",history,416 pages,Amazon,February 18th 2020,4.08,1025,136
Deborah Wiles,Kent State,history,144 pages,"Kindle Store
$10.99
",April 21st 2020,4.33,258,106
Roland Merullo,Once Night Falls,history,366 pages,"Kindle Unlimited
",December 1st 2019,4.01,4991,283
Sebastian Junger,Tribe: On Homecoming and Belonging,history,182 pages,"Kindle Store
$4.99
",May 24th 2016,4.03,27962,3001
David McCullough,The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West,history,352 pages,"Kindle Store
$11.99
",May 7th 2019,3.76,10823,1719
"Nicholas D. Kristof,Sheryl WuDunn",Tightrope: Americans Reaching for Hope,history,304 pages,"Kindle Store
$13.99
",January 14th 2020,4.32,2732,517
Mario Escobar,Canción de cuna de Auschwitz,history,240 pages,"Kindle Store
$9.99
",March 29th 2016,4.22,6668,912
Denise Kiernan,"The Last Castle: The Epic Story of Love, Loss, and American Royalty in the Nation's Largest Home",history,307 pages,"Kindle Unlimited
",September 26th 2017,3.67,5523,856
Petra Durst-Benning,Die Fotografin - Am Anfang des Weges: Roman,history,449 pages,"Kindle Store
$9.59
",August 27th 2018,4.07,525,30
Gemma Liviero,Broken Angels,history,464 pages,"Kindle Unlimited
",April 26th 2016,4.46,11017,819
Matt    Parker,Humble Pi: A Comedy of Maths Errors,history,314 pages,Amazon UK,March 7th 2019,4.18,2681,299
Nick Bilton,American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,history,328 pages,"Kindle Store
$2.99
",May 2nd 2017,4.33,20287,1681
A.J. Baime,The Accidental President: Harry S. Truman and the Four Months That Changed the World,history,464 pages,"Kindle Unlimited
",November 7th 2017,4.52,3543,419
Anonymous,A Warning,history,259 pages,"Kindle Store
$15.99
",November 19th 2019,3.89,8224,1357
Roxane van Iperen,'t Hooge Nest,history,384 pages,Amazon,November 15th 2018,4.48,2211,292
Ezra Klein,Why We're Polarized,history,312 pages,"Kindle Store
$14.99
",January 28th 2020,4.30,2335,357
"Lois Lowry,Kenard Pak",On the Horizon,history,80 pages,"Kindle Store
$9.99
",April 7th 2020,4.39,583,140
Matthew Desmond,Evicted: Poverty and Profit in the American City,history,418 pages,Amazon ES,March 1st 2016,4.47,57669,7807
Ashwin Sanghi,The Vault of Vishnu,history,400 pages,"Kindle Store
$0.99
",January 27th 2020,3.72,782,112
Garrett M. Graff,The Only Plane in the Sky: An Oral History of 9/11,history,416 pages,Amazon,September 10th 2019,4.73,8403,1652
Eoin Dempsey,Toward the Midnight Sun,history,,"Kindle Unlimited
",January 1st 2020,3.87,3693,281
Andie Newton,The Girl I Left Behind,history,368 pages,"Kindle Unlimited
",October 3rd 2019,4.28,385,73
Mary Beard,Women & Power: A Manifesto,history,115 pages,Amazon,December 12th 2017,4.05,18804,2222
Jing-Jing Lee,How We Disappeared,history,352 pages,Amazon UK,May 2nd 2019,4.17,1705,345
Glynis Peters,The Secret Orphan,history,400 pages,"Kindle Store
$2.99
",December 18th 2018,3.97,10353,711
"Jason Reynolds,Ibram X. Kendi","Stamped: Racism, Antiracism, and You",history,294 pages,Amazon,March 10th 2020,4.71,1988,574
Margot Lee Shetterly,Hidden Figures,history,368 pages,"Kindle Store
$11.99
",December 6th 2016,3.95,70089,7900
"Judy Christie,Lisa Wingate",Before and After: The Incredible Real-Life Stories of Orphans Who Survived the Tennessee Children's Home Society,history,320 pages,"Kindle Store
$13.99
",October 22nd 2019,4.02,5212,972
Erik Larson,Dead Wake: The Last Crossing of the Lusitania,history,430 pages,Amazon,March 3rd 2015,4.09,102652,10980
Danielle Steel,Spy,history,288 pages,"Kindle Store
$14.99
",November 26th 2019,4.01,3880,382
Timothy Snyder,On Tyranny: Twenty Lessons from the Twentieth Century,history,126 pages,Amazon,March 28th 2017,4.20,34877,4815
Andy Greene,The Office: The Untold Story of the Greatest Sitcom of the 2000s: An Oral History,history,464 pages,"Kindle Store
$13.99
",March 24th 2020,4.26,1255,202
Samantha Power,The Education of an Idealist: A Memoir,history,592 pages,Amazon,September 10th 2019,4.37,5476,705
Reni Eddo-Lodge,Why I'm No Longer Talking to White People About Race,history,249 pages,Amazon UK,June 1st 2017,4.37,27861,2947
Douglas Preston,The Lost City of the Monkey God,history,326 pages,"Kindle Store
$11.99
",January 3rd 2017,3.91,37230,4195
Tim Marshall,Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics,history,256 pages,Amazon,July 9th 2015,4.23,36989,3415
Jonathan Karl,Front Row at the Trump Show,history,544 pages,"Kindle Store
$14.99
",March 31st 2020,4.39,566,85
"Ben Kissel,Marcus Parks,Henry Zebrowski,Tom Neely",The Last Book on the Left: Stories of Murder and Mayhem from History’s Most Notorious Serial Killers,history,304 pages,"Kindle Store
$14.99
",April 7th 2020,4.48,728,98
"Philip Rucker,Carol Leonnig",A Very Stable Genius: Donald J. Trump's Testing of America,history,480 pages,"Kindle Store
$15.99
",January 21st 2020,4.23,6921,918
Mandy  Robotham,A Woman of War,history,,Amazon,December 7th 2018,4.28,11984,996
Jean Grainger,What Once Was True,history,376 pages,"Kindle Unlimited
",June 24th 2018,4.17,2612,149
Marie Benedict,Lady Clementine,history,322 pages,"Kindle Store
$8.57
",January 7th 2020,3.73,4075,708
Alexis Coe,You Never Forget Your First: A Biography of George Washington,history,304 pages,Amazon,February 4th 2020,3.84,2146,330
Gemma Liviero,The Road Beyond Ruin,history,,"Kindle Unlimited
",January 1st 2019,4.06,9726,782
Dan Crenshaw,Fortitude: American Resilience in the Era of Outrage,history,256 pages,"Kindle Store
$14.99
",April 7th 2020,4.55,541,70
Jennifer Robson,The Gown,history,371 pages,"Kindle Store
$11.99
",December 31st 2018,4.11,26133,3638
Colum McCann,Apeirogon,history,,Amazon UK,February 25th 2020,4.27,1958,488
Nguyễn Phan Quế Mai,The Mountains Sing,history,352 pages,"Kindle Store
$11.31
",March 17th 2020,4.39,1336,333
Lucinda Riley,The Storm Sister,history,513 pages,Amazon,March 22nd 2016,4.28,22217,1532
Lucinda Riley,The Shadow Sister,history,513 pages,"Kindle Unlimited
",April 18th 2017,4.36,19390,1227
"Jan Stocklassa,Tineke Jorissen-Wedzinga,Ron Bezemer",Stieg Larssons erfenis: Zijn jacht op de moordenaar van Olof Palme,history,480 pages,Amazon,November 6th 2018,3.56,3158,309
Mandy  Robotham,The Secret Messenger,history,391 pages,"Kindle Store
$3.99
",December 12th 2019,4.28,1130,147
Lucinda Riley,The Moon Sister,history,742 pages,Amazon,November 2018,4.26,13621,959
Ellen Lindseth,The Long Path Home,history,,Amazon IN,April 7th 2020,4.06,228,33
Katrin Schumann,This Terrible Beauty,history,382 pages,Amazon,March 1st 2020,4.21,2785,226
Suzanne Goldring,My Name is Eva,history,324 pages,Amazon,September 11th 2019,3.99,8329,454
"Hyeonseo Lee,David John",The Girl with Seven Names: A North Korean Defector’s Story,history,304 pages,Amazon,July 2nd 2015,4.44,43155,4344
Eoin Dempsey,"White Rose, Black Forest",history,270 pages,"Kindle Unlimited
",March 1st 2018,4.08,47769,2538
Laila Ibrahim,Mustard Seed,history,284 pages,Amazon,November 7th 2017,4.20,11443,713
Michael   Lewis,The Fifth Risk: Undoing Democracy,history,256 pages,Amazon,December 3rd 2019,4.07,28968,3153
Sarah M. Broom,The Yellow House,history,376 pages,"Kindle Store
$12.99
",August 13th 2019,3.98,6920,976
"Edith Eger,Esmé Schwall Weigand,Philip Zimbardo",The Choice: Embrace the Possible,history,289 pages,"Kindle Store
$12.99
",September 5th 2017,4.55,19776,2207
Stephen Fry,Mythos: The Greek Myths Retold,history,416 pages,Amazon UK,November 2nd 2017,4.24,36760,3749
Adam Higginbotham,Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,history,538 pages,Amazon UK,February 12th 2019,4.40,17204,2247
Wendy   Holden,Born Survivors,history,385 pages,"Kindle Unlimited
",May 5th 2015,4.25,18852,1735
Sonia Purnell,A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,history,368 pages,"Kindle Store
$12.99
",April 9th 2019,4.21,8608,1475
Kate  Moore,The Radium Girls: The Dark Story of America's Shining Women,history,479 pages,"Kindle Store
$7.59
",May 2nd 2017,4.16,65514,9768
Ben Macintyre,The Spy and the Traitor: The Greatest Espionage Story of the Cold War,history,384 pages,Amazon,September 18th 2018,4.49,19280,1858
"George Takei,Justin Eisinger,Steven Scott,Harmony Becker",They Called Us Enemy,history,208 pages,Amazon,July 16th 2019,4.48,11963,2173
"Hans Rosling,Ola Rosling,Anna Rosling Rönnlund",Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,history,342 pages,Amazon,January 25th 2018,4.38,82383,7896
Edward Snowden,Permanent Record,history,339 pages,"Kindle Store
$14.99
",September 17th 2019,4.38,20090,2303
Olivia Hawker,The Ragged Edge of Night,history,340 pages,"Kindle Unlimited
",October 1st 2018,4.17,33773,2433
Hallie Rubenhold,The Five: The Lives of Jack the Ripper's Women,history,336 pages,Amazon,April 9th 2019,4.23,13482,2484
Patrick Radden Keefe,Say Nothing: A True Story of Murder and Memory in Northern Ireland,history,441 pages,"Kindle Store
$2.99
",February 26th 2019,4.42,29785,3962
Susan Orlean,The Library Book,history,317 pages,Amazon,October 16th 2018,3.93,65781,11873
Lucinda Riley,The Sun Sister,history,848 pages,Amazon,October 31st 2019,4.47,8494,586
Marie Benedict,The Other Einstein,history,304 pages,"Kindle Unlimited
",October 18th 2016,3.76,34929,4575
Georgia Hunter,We Were the Lucky Ones,history,403 pages,"Kindle Store
$9.99
",February 14th 2017,4.40,83442,7624
"James Patterson,Cynthia Fagen",The House of Kennedy,history,432 pages,"Kindle Store
$14.99
",April 13th 2020,3.98,989,73
Michael Pollan,Caffeine: How Caffeine Created the Modern World,history,,Amazon,January 30th 2020,3.70,3545,367
Julianne MacLean,A Fire Sparkling,history,432 pages,"Kindle Unlimited
",August 1st 2019,4.37,17459,1439
David Grann,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,history,359 pages,Amazon,April 18th 2017,4.09,110281,13467
Anne Glenconner,Lady in Waiting: My Extraordinary Life in the Shadow of the Crown,history,336 pages,Amazon,October 17th 2019,4.18,5425,446
Natasha Boyd,The Indigo Girl,history,343 pages,"Kindle Store
$7.99
",October 3rd 2017,4.30,9666,1228
Jane Healey,The Beantown Girls,history,361 pages,"Kindle Unlimited
",February 5th 2019,4.31,13649,1558
"Sara Aharoni,שרה אהרוני",אהבתה של גברת רוטשילד,history,428 pages,Amazon,November 2015,4.08,2179,148
Hilary Mantel,The Mirror & the Light,history,784 pages,Amazon,March 10th 2020,4.52,5454,987
Fiona Valpy,Sea of Memories,history,273 pages,Amazon,March 1st 2018,4.37,30113,1748
Neil Gaiman,Norse Mythology,history,301 pages,Amazon IN,March 6th 2018,4.10,191602,18431
Mark T. Sullivan,Beneath a Scarlet Sky,history,513 pages,Amazon IN,May 1st 2017,4.41,217141,16992
Heather   Morris,Cilka's Journey,history,352 pages,Amazon,October 1st 2019,4.40,38846,4369
Erik Larson,"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",history,464 pages,"Kindle Store
$14.99
",February 25th 2020,4.31,12938,1964
Robert  Kolker,Hidden Valley Road: Inside the Mind of an American Family,history,400 pages,"Kindle Store
$14.99
",April 7th 2020,4.30,4589,619
Colson Whitehead,The Nickel Boys,history,224 pages,Amazon,July 16th 2019,4.25,71247,8491
Heather   Morris,The Tattooist of Auschwitz,history,262 pages,"Kindle Store
$11.99
",September 4th 2018,4.26,373744,29481
Harper Lee,Go Set a Watchman,historical-fiction,278 pages,"Kindle Store
$11.99
",July 14th 2015,3.31,221238,28989
Deb Spera,Call Your Daughter Home,historical-fiction,352 pages,"Kindle Store
$9.99
",June 11th 2019,4.31,6078,1004
Julian Fellowes,Belgravia,historical-fiction,417 pages,Amazon,July 5th 2016,3.74,20674,2889
"Philippa Gregory,Philippa Gregory",Tidelands,historical-fiction,448 pages,Amazon,August 20th 2019,3.79,8444,1374
Olivia Hawker,The Ragged Edge of Night,historical-fiction,340 pages,"Kindle Unlimited
",October 1st 2018,4.17,33773,2433
Rebecca Makkai,The Great Believers,historical-fiction,448 pages,Amazon,June 4th 2019,4.21,61802,6042
"Lisa See,Lisa See",The Island of Sea Women,historical-fiction,374 pages,Amazon,March 5th 2019,4.24,34784,5128
Diane Setterfield,Once Upon a River,historical-fiction,464 pages,Amazon UK,December 4th 2018,3.98,39796,6882
Jeffrey Archer,Nothing Ventured,historical-fiction,320 pages,Amazon UK,September 3rd 2019,3.97,9269,965
Yaa Gyasi,Homegoing,historical-fiction,320 pages,Kobo,June 7th 2016,4.43,147176,18115
John Boyne,The Heart's Invisible Furies,historical-fiction,582 pages,Amazon FR,August 22nd 2017,4.47,61663,8814
David Baldacci,One Good Deed,historical-fiction,432 pages,"Kindle Store
$10.99
",July 23rd 2019,4.07,18420,1742
Pat Barker,The Silence of the Girls,historical-fiction,291 pages,Amazon UK,September 4th 2018,3.92,29157,3965
Ruta Sepetys,The Fountains of Silence,historical-fiction,512 pages,Amazon,October 1st 2019,4.32,16977,3369
Scarlett Scott,Prince of Persuasion,historical-fiction,247 pages,"Kindle Unlimited
",March 7th 2019,4.24,803,77
Lucinda Riley,The Sun Sister,historical-fiction,848 pages,Amazon,October 31st 2019,4.47,8494,586
Robert Dugoni,The Extraordinary Life of Sam Hell,historical-fiction,448 pages,"Kindle Unlimited
",April 24th 2018,4.34,49819,5095
Marie Benedict,The Other Einstein,historical-fiction,304 pages,"Kindle Unlimited
",October 18th 2016,3.76,34929,4575
Chanel Cleeton,Next Year in Havana,historical-fiction,361 pages,"Kindle Store
$9.99
",February 6th 2018,3.94,58437,6493
Georgia Hunter,We Were the Lucky Ones,historical-fiction,403 pages,"Kindle Store
$9.99
",February 14th 2017,4.40,83442,7624
"Kristina McMorris,Kristina McMorris",Sold on a Monday,historical-fiction,344 pages,"Kindle Store
$7.59
",August 28th 2018,3.86,29715,3464
Lisa Kleypas,Chasing Cassandra,historical-fiction,384 pages,Kobo,February 18th 2020,4.16,8069,1270
William Kent Krueger,This Tender Land,historical-fiction,450 pages,"Kindle Store
$12.99
",September 3rd 2019,4.38,29012,4733
Jen Wang,The Prince and the Dressmaker,historical-fiction,277 pages,"Kindle Store
$9.99
",February 13th 2018,4.40,38460,7705
Julianne MacLean,A Fire Sparkling,historical-fiction,432 pages,"Kindle Unlimited
",August 1st 2019,4.37,17459,1439
Taylor Jenkins Reid,Evidence of the Affair,historical-fiction,115 pages,Amazon CA,September 20th 2018,3.87,15454,2361
Kate Quinn,The Huntress,historical-fiction,560 pages,Amazon CA,February 26th 2019,4.27,55910,6459
Gail Carriger,Defy or Defend,historical-fiction,240 pages,Amazon,May 3rd 2020,4.53,248,78
Bridget Collins,The Binding,historical-fiction,437 pages,"Kindle Store
$11.99
",January 10th 2019,3.89,24632,4365
"Susana López Rubio,Achy Obejas",The Price of Paradise,historical-fiction,368 pages,"Kindle Unlimited
",June 1st 2019,4.16,3912,401
Pam Jenoff,The Lost Girls of Paris,historical-fiction,384 pages,Amazon,January 29th 2019,3.88,49900,5592
Elin Hilderbrand,Summer of '69,historical-fiction,432 pages,"Kindle Store
$11.99
",June 18th 2019,3.97,54623,4806
John Grisham,The Reckoning,historical-fiction,420 pages,Amazon IN,October 23rd 2018,3.72,61919,6874
Luanne G. Smith,The Vine Witch,historical-fiction,,Amazon CA,October 1st 2019,3.83,20468,2102
Alix E. Harrow,The Ten Thousand Doors of January,historical-fiction,374 pages,Amazon,September 10th 2019,4.11,26873,5642
Rhys Bowen,The Tuscan Child,historical-fiction,336 pages,"Kindle Unlimited
",February 20th 2018,3.97,63436,3511
Erica Ridley,Kiss of a Duke,historical-fiction,216 pages,"Kindle Store
$0.00
",November 6th 2018,4.36,505,201
Louise Erdrich,The Night Watchman,historical-fiction,464 pages,Amazon,March 3rd 2020,4.25,3412,552
Martha Hall Kelly,Lilac Girls,historical-fiction,487 pages,"Kindle Store
$12.99
",April 5th 2016,4.29,189362,17184
Sofía Segovia,El murmullo de las abejas,historical-fiction,496 pages,Amazon,March 23rd 2015,4.28,18560,2865
Lara Prescott,The Secrets We Kept,historical-fiction,368 pages,"Kindle Store
$13.99
",September 17th 2019,3.71,29425,3240
Natasha Boyd,The Indigo Girl,historical-fiction,343 pages,"Kindle Store
$7.99
",October 3rd 2017,4.30,9666,1228
Jane Healey,The Beantown Girls,historical-fiction,361 pages,"Kindle Unlimited
",February 5th 2019,4.31,13649,1558
Evie Dunmore,Bringing Down the Duke,historical-fiction,368 pages,Kobo,September 3rd 2019,4.03,16513,2721
Jacqueline Woodson,Red at the Bone,historical-fiction,196 pages,"Kindle Store
$13.99
",September 17th 2019,4.01,25499,3639
Sejal Badani,The Storyteller's Secret,historical-fiction,400 pages,"Kindle Unlimited
",September 1st 2018,4.38,67304,5163
Chloe  Benjamin,The Immortalists,historical-fiction,346 pages,Amazon,January 9th 2018,3.72,135240,14321
Jennifer Weiner,Mrs. Everything,historical-fiction,416 pages,Amazon CA,June 11th 2019,3.85,48498,5402
"Sara Aharoni,שרה אהרוני",אהבתה של גברת רוטשילד,historical-fiction,428 pages,Amazon,November 2015,4.08,2179,148
Ta-Nehisi Coates,The Water Dancer,historical-fiction,403 pages,"Kindle Store
$14.99
",September 24th 2019,4.07,40983,5322
Colson Whitehead,The Underground Railroad,historical-fiction,306 pages,Amazon,August 2nd 2016,4.02,261508,22967
Rhys Bowen,Above the Bay of Angels,historical-fiction,348 pages,"Kindle Unlimited
",February 11th 2020,4.15,5341,542
Julia Quinn,First Comes Scandal,historical-fiction,288 pages,"Kindle Store
$6.99
",April 21st 2020,3.79,2146,434
Christy Lefteri,The Beekeeper of Aleppo,historical-fiction,317 pages,Amazon,August 27th 2019,4.24,15518,2189
Erica Bauermeister,The Scent Keeper,historical-fiction,311 pages,Amazon,May 21st 2019,3.98,12687,1757
Kelly Rimmer,The Things We Cannot Say,historical-fiction,448 pages,"Kindle Store
$9.99
",October 17th 2019,4.51,27521,3181
Catherine Ryan Hyde,Stay,historical-fiction,290 pages,"Kindle Unlimited
",December 3rd 2019,4.40,8990,810
